Period,Decile,Gender,Agegroup,Life_Expectancy
2011-2013,10,Female,75-79   ,14.49
2011-2013,10,Female,80-84   ,10.76
2011-2013,10,Female,85-89   ,7.62
2011-2013,10,Female,90+     ,5.33
2012-2014,1,Male,<1      ,73.96
2012-2014,1,Male,1-4,73.45
2012-2014,1,Male,5-9,69.52
2012-2014,1,Male,10-14,64.56
2012-2014,1,Male,15-19   ,59.6
2012-2014,1,Male,20-24   ,54.71
2012-2014,1,Male,25-29   ,49.88
2012-2014,1,Male,30-34   ,45.1
2012-2014,1,Male,35-39   ,40.39
2012-2014,1,Male,40-44   ,35.83
2012-2014,1,Male,45-49   ,31.44
2012-2014,1,Male,50-54   ,27.2
2012-2014,1,Male,55-59   ,23.12
2012-2014,1,Male,60-64   ,19.28
2012-2014,1,Male,65-69   ,15.8
2012-2014,1,Male,70-74   ,12.58
2012-2014,1,Male,75-79   ,9.81
2012-2014,1,Male,80-84   ,7.39
2012-2014,1,Male,85-89   ,5.46
2012-2014,1,Male,90+     ,4.11
2012-2014,1,Female,<1      ,79
2012-2014,1,Female,1-4,78.41
2012-2014,1,Female,5-9,74.48
2012-2014,1,Female,10-14,69.51
2012-2014,1,Female,15-19   ,64.55
2012-2014,1,Female,20-24   ,59.6
2012-2014,1,Female,25-29   ,54.67
2012-2014,1,Female,30-34   ,49.78
2012-2014,1,Female,35-39   ,44.94
2012-2014,1,Female,40-44   ,40.2
2012-2014,1,Female,45-49   ,35.56
2012-2014,1,Female,50-54   ,31.04
2012-2014,1,Female,55-59   ,26.67
2012-2014,1,Female,60-64   ,22.5
2012-2014,1,Female,65-69   ,18.61
2012-2014,1,Female,70-74   ,15
2012-2014,1,Female,75-79   ,11.74
2012-2014,1,Female,80-84   ,8.88
2012-2014,1,Female,85-89   ,6.55
2012-2014,1,Female,90+     ,4.76
2012-2014,2,Male,<1      ,76.14
2012-2014,2,Male,1-4,75.55
2012-2014,2,Male,5-9,71.61
2012-2014,2,Male,10-14,66.64
2012-2014,2,Male,15-19   ,61.68
2012-2014,2,Male,20-24   ,56.79
2012-2014,2,Male,25-29   ,51.95
2012-2014,2,Male,30-34   ,47.12
2012-2014,2,Male,35-39   ,42.32
2012-2014,2,Male,40-44   ,37.63
2012-2014,2,Male,45-49   ,33.06
2012-2014,2,Male,50-54   ,28.63
2012-2014,2,Male,55-59   ,24.34
2012-2014,2,Male,60-64   ,20.31
2012-2014,2,Male,65-69   ,16.64
2012-2014,2,Male,70-74   ,13.29
2012-2014,2,Male,75-79   ,10.25
2012-2014,2,Male,80-84   ,7.65
2012-2014,2,Male,85-89   ,5.57
2012-2014,2,Male,90+     ,4.08
2012-2014,2,Female,<1      ,80.47
2012-2014,2,Female,1-4,79.84
2012-2014,2,Female,5-9,75.89
2012-2014,2,Female,10-14,70.92
2012-2014,2,Female,15-19   ,65.96
2012-2014,2,Female,20-24   ,61.02
2012-2014,2,Female,25-29   ,56.08
2012-2014,2,Female,30-34   ,51.16
2012-2014,2,Female,35-39   ,46.29
2012-2014,2,Female,40-44   ,41.49
2012-2014,2,Female,45-49   ,36.77
2012-2014,2,Female,50-54   ,32.16
2012-2014,2,Female,55-59   ,27.67
2012-2014,2,Female,60-64   ,23.38
2012-2014,2,Female,65-69   ,19.32
2012-2014,2,Female,70-74   ,15.51
2012-2014,2,Female,75-79   ,12.07
2012-2014,2,Female,80-84   ,9
2012-2014,2,Female,85-89   ,6.53
2012-2014,2,Female,90+     ,4.62
2012-2014,3,Male,<1      ,77.48
2012-2014,3,Male,1-4,76.82
2012-2014,3,Male,5-9,72.89
2012-2014,3,Male,10-14,67.94
2012-2014,3,Male,15-19   ,62.97
2012-2014,3,Male,20-24   ,58.07
2012-2014,3,Male,25-29   ,53.2
2012-2014,3,Male,30-34   ,48.34
2012-2014,3,Male,35-39   ,43.53
2012-2014,3,Male,40-44   ,38.81
2012-2014,3,Male,45-49   ,34.2
2012-2014,3,Male,50-54   ,29.7
2012-2014,3,Male,55-59   ,25.34
2012-2014,3,Male,60-64   ,21.21
2012-2014,3,Male,65-69   ,17.36
2012-2014,3,Male,70-74   ,13.79
2012-2014,3,Male,75-79   ,10.62
2012-2014,3,Male,80-84   ,7.89
2012-2014,3,Male,85-89   ,5.71
2012-2014,3,Male,90+     ,4.21
2012-2014,3,Female,<1      ,81.63
2012-2014,3,Female,1-4,80.92
2012-2014,3,Female,5-9,76.97
2012-2014,3,Female,10-14,72
2012-2014,3,Female,15-19   ,67.04
2012-2014,3,Female,20-24   ,62.09
2012-2014,3,Female,25-29   ,57.16
2012-2014,3,Female,30-34   ,52.24
2012-2014,3,Female,35-39   ,47.36
2012-2014,3,Female,40-44   ,42.52
2012-2014,3,Female,45-49   ,37.76
2012-2014,3,Female,50-54   ,33.1
2012-2014,3,Female,55-59   ,28.55
2012-2014,3,Female,60-64   ,24.18
2012-2014,3,Female,65-69   ,20.05
2012-2014,3,Female,70-74   ,16.09
2012-2014,3,Female,75-79   ,12.52
2012-2014,3,Female,80-84   ,9.31
2012-2014,3,Female,85-89   ,6.73
2012-2014,3,Female,90+     ,4.78
2012-2014,4,Male,<1      ,78.72
2012-2014,4,Male,1-4,78.06
2012-2014,4,Male,5-9,74.11
2012-2014,4,Male,10-14,69.14
2012-2014,4,Male,15-19   ,64.18
2012-2014,4,Male,20-24   ,59.28
2012-2014,4,Male,25-29   ,54.4
2012-2014,4,Male,30-34   ,49.55
2012-2014,4,Male,35-39   ,44.71
2012-2014,4,Male,40-44   ,39.92
2012-2014,4,Male,45-49   ,35.25
2012-2014,4,Male,50-54   ,30.69
2012-2014,4,Male,55-59   ,26.26
2012-2014,4,Male,60-64   ,22.05
2012-2014,4,Male,65-69   ,18.09
2012-2014,4,Male,70-74   ,14.37
2012-2014,4,Male,75-79   ,11.1
2012-2014,4,Male,80-84   ,8.22
2012-2014,4,Male,85-89   ,5.93
2012-2014,4,Male,90+     ,4.26
2012-2014,4,Female,<1      ,82.46
2012-2014,4,Female,1-4,81.75
2012-2014,4,Female,5-9,77.79
2012-2014,4,Female,10-14,72.82
2012-2014,4,Female,15-19   ,67.85
2012-2014,4,Female,20-24   ,62.9
2012-2014,4,Female,25-29   ,57.95
2012-2014,4,Female,30-34   ,53.03
2012-2014,4,Female,35-39   ,48.13
2012-2014,4,Female,40-44   ,43.28
2012-2014,4,Female,45-49   ,38.51
2012-2014,4,Female,50-54   ,33.81
2012-2014,4,Female,55-59   ,29.24
2012-2014,4,Female,60-64   ,24.84
2012-2014,4,Female,65-69   ,20.62
2012-2014,4,Female,70-74   ,16.57
2012-2014,4,Female,75-79   ,12.87
2012-2014,4,Female,80-84   ,9.56
2012-2014,4,Female,85-89   ,6.85
2012-2014,4,Female,90+     ,4.84
2012-2014,5,Male,<1      ,79.56
2012-2014,5,Male,1-4,78.87
2012-2014,5,Male,5-9,74.93
2012-2014,5,Male,10-14,69.97
2012-2014,5,Male,15-19   ,65
2012-2014,5,Male,20-24   ,60.09
2012-2014,5,Male,25-29   ,55.22
2012-2014,5,Male,30-34   ,50.35
2012-2014,5,Male,35-39   ,45.51
2012-2014,5,Male,40-44   ,40.74
2012-2014,5,Male,45-49   ,36.02
2012-2014,5,Male,50-54   ,31.41
2012-2014,5,Male,55-59   ,26.91
2012-2014,5,Male,60-64   ,22.57
2012-2014,5,Male,65-69   ,18.51
2012-2014,5,Male,70-74   ,14.71
2012-2014,5,Male,75-79   ,11.3
2012-2014,5,Male,80-84   ,8.29
2012-2014,5,Male,85-89   ,5.89
2012-2014,5,Male,90+     ,4.22
2012-2014,5,Female,<1      ,83.14
2012-2014,5,Female,1-4,82.41
2012-2014,5,Female,5-9,78.46
2012-2014,5,Female,10-14,73.49
2012-2014,5,Female,15-19   ,68.5
2012-2014,5,Female,20-24   ,63.57
2012-2014,5,Female,25-29   ,58.63
2012-2014,5,Female,30-34   ,53.7
2012-2014,5,Female,35-39   ,48.8
2012-2014,5,Female,40-44   ,43.95
2012-2014,5,Female,45-49   ,39.15
2012-2014,5,Female,50-54   ,34.43
2012-2014,5,Female,55-59   ,29.8
2012-2014,5,Female,60-64   ,25.32
2012-2014,5,Female,65-69   ,21.02
2012-2014,5,Female,70-74   ,16.9
2012-2014,5,Female,75-79   ,13.09
2012-2014,5,Female,80-84   ,9.7
2012-2014,5,Female,85-89   ,6.9
2012-2014,5,Female,90+     ,4.81
2012-2014,6,Male,<1      ,80.31
2012-2014,6,Male,1-4,79.6
2012-2014,6,Male,5-9,75.65
2012-2014,6,Male,10-14,70.68
2012-2014,6,Male,15-19   ,65.71
2012-2014,6,Male,20-24   ,60.8
2012-2014,6,Male,25-29   ,55.93
2012-2014,6,Male,30-34   ,51.06
2012-2014,6,Male,35-39   ,46.22
2012-2014,6,Male,40-44   ,41.41
2012-2014,6,Male,45-49   ,36.67
2012-2014,6,Male,50-54   ,32.01
2012-2014,6,Male,55-59   ,27.46
2012-2014,6,Male,60-64   ,23.09
2012-2014,6,Male,65-69   ,18.98
2012-2014,6,Male,70-74   ,15.09
2012-2014,6,Male,75-79   ,11.54
2012-2014,6,Male,80-84   ,8.42
2012-2014,6,Male,85-89   ,5.93
2012-2014,6,Male,90+     ,4.16
2012-2014,6,Female,<1      ,83.7
2012-2014,6,Female,1-4,82.94
2012-2014,6,Female,5-9,78.97
2012-2014,6,Female,10-14,74.01
2012-2014,6,Female,15-19   ,69.03
2012-2014,6,Female,20-24   ,64.08
2012-2014,6,Female,25-29   ,59.13
2012-2014,6,Female,30-34   ,54.2
2012-2014,6,Female,35-39   ,49.3
2012-2014,6,Female,40-44   ,44.42
2012-2014,6,Female,45-49   ,39.61
2012-2014,6,Female,50-54   ,34.87
2012-2014,6,Female,55-59   ,30.23
2012-2014,6,Female,60-64   ,25.72
2012-2014,6,Female,65-69   ,21.37
2012-2014,6,Female,70-74   ,17.18
2012-2014,6,Female,75-79   ,13.29
2012-2014,6,Female,80-84   ,9.79
2012-2014,6,Female,85-89   ,6.9
2012-2014,6,Female,90+     ,4.8
2012-2014,7,Male,<1      ,80.93
2012-2014,7,Male,1-4,80.19
2012-2014,7,Male,5-9,76.25
2012-2014,7,Male,10-14,71.28
2012-2014,7,Male,15-19   ,66.31
2012-2014,7,Male,20-24   ,61.39
2012-2014,7,Male,25-29   ,56.52
2012-2014,7,Male,30-34   ,51.65
2012-2014,7,Male,35-39   ,46.81
2012-2014,7,Male,40-44   ,41.99
2012-2014,7,Male,45-49   ,37.23
2012-2014,7,Male,50-54   ,32.54
2012-2014,7,Male,55-59   ,27.94
2012-2014,7,Male,60-64   ,23.52
2012-2014,7,Male,65-69   ,19.34
2012-2014,7,Male,70-74   ,15.34
2012-2014,7,Male,75-79   ,11.75
2012-2014,7,Male,80-84   ,8.61
2012-2014,7,Male,85-89   ,6.06
2012-2014,7,Male,90+     ,4.24
2012-2014,7,Female,<1      ,84.19
2012-2014,7,Female,1-4,83.43
2012-2014,7,Female,5-9,79.46
2012-2014,7,Female,10-14,74.5
2012-2014,7,Female,15-19   ,69.52
2012-2014,7,Female,20-24   ,64.57
2012-2014,7,Female,25-29   ,59.63
2012-2014,7,Female,30-34   ,54.68
2012-2014,7,Female,35-39   ,49.75
2012-2014,7,Female,40-44   ,44.87
2012-2014,7,Female,45-49   ,40.04
2012-2014,7,Female,50-54   ,35.28
2012-2014,7,Female,55-59   ,30.6
2012-2014,7,Female,60-64   ,26.06
2012-2014,7,Female,65-69   ,21.66
